Video_ID,Video_Title,City,Activity,Reason,Activity_Simple,Reason_Simple
1,kzNjmq63I_E,London,not planning correctly,populated areas only on weekends,Logistics,Friction
1,kzNjmq63I_E,London,buying designer goods,no VAT refund post-Brexit,Commerce,Rules
1,kzNjmq63I_E,London,checking out the nightlife,limited club options for tourists,Sights,Value
2,5GzACwRHguc,London,using Google Maps,not accurate,Mobility,Friction
2,5GzACwRHguc,London,walking,not practical,Mobility,Friction
2,5GzACwRHguc,London,crossing streets,not safe,Risk,Risk
2,5GzACwRHguc,London,calling London 'London',not local,Conduct,Value
3,nvTHBfZTld4,London,using Uber,dangerous,Mobility,Risk
3,nvTHBfZTld4,London,skipping queues,disrespectful,Logistics,Norms
3,nvTHBfZTld4,London,ordering still water,unnecessary,Commerce,Value
4,RPuZsC35mKk,London,walking in sneakers,too many steps,Mobility,Friction
4,RPuZsC35mKk,London,using Uber,limited service,Mobility,Friction
4,RPuZsC35mKk,London,not visiting Tate Modern,powerful storytelling,Sights,Value
4,RPuZsC35mKk,London,visiting markets,crowded,Sights,Crowd
5,WOLrcR6yJyw,London,confusing bridges,common tourist mistake,Mobility,Friction
5,WOLrcR6yJyw,London,over-tipping,unnecessary double payment,Commerce,Value
5,WOLrcR6yJyw,London,offensive gestures,could offend locals,Conduct,Norms
5,WOLrcR6yJyw,London,wrong escalator side,inconvenient for rushing Londoners,Mobility,Norms
6,i6tcnbseaBw,New York,visiting the Empire State Building,skyline feels incomplete,Sights,Crowd
6,i6tcnbseaBw,New York,touching the bull statue,always long lines,Sights,Crowd
6,i6tcnbseaBw,New York,visiting the Statue of Liberty,overrated,Sights,Value
7,-7dUVAX-FEs,New York,looking for bike lanes,dangerous,Risk,Risk
7,-7dUVAX-FEs,New York,wearing comfortable shoes,uncomfortable,Mobility,Value
7,-7dUVAX-FEs,New York,using public transportation,faster and cheaper,Mobility,Value
8,9FO3z-PfPoE,New York,monk bracelet scam,fake monks tie bracelets and demand money,Risk,Risk
8,9FO3z-PfPoE,New York,mix tape scam,free mix tapes turn out to be expensive,Risk,Risk
8,9FO3z-PfPoE,New York,costume photo scams,costumes charge for photos,Risk,Risk
9,MEbEcv5hmfc,New York,overpaying for hotels,too expensive,Commerce,Value
9,MEbEcv5hmfc,New York,using taxis,inefficient,Mobility,Friction
9,MEbEcv5hmfc,New York,watching Times Square shows,overrated,Sights,Value
10,hrqLIA1SWzs,New York,visiting the Statue of Liberty,too expensive,Sights,Value
10,hrqLIA1SWzs,New York,eating at overpriced chains,poor quality,Commerce,Value
10,hrqLIA1SWzs,New York,using the metro,overpriced,Mobility,Value
10,hrqLIA1SWzs,New York,visiting Times Square during peak hours,crowded,Logistics,Crowd
11,_WA-kBCxvMc.,Paris,standing in front of the Arc de Triomphe,too crowded,Sights,Crowd
11,_WA-kBCxvMc.,Paris,looking at the Eiffel Tower from a balcony,not worth the view,Sights,Value
11,_WA-kBCxvMc.,Paris,standing on a pedestal in front of a building,not recommended,Sights,Norms
11,_WA-kBCxvMc.,Paris,walking up a grand staircase,not necessary,Mobility,Value
